N9721	health	nutrition	50 Foods You Should Never Eat, According to Health Experts	This is so depressing.	https://assets.msn.com/labs/mind/AABDHTv.html	[]	[]
N41997	autos	autosownership	How Often Should You Change Synthetic Oil?	There's more than one answer, so let us simplify it for you, starting with outlining the advantages of synthetic oil.	https://assets.msn.com/labs/mind/AAIE00F.html	"[{""Label"": ""Synthetic oil"", ""Type"": ""C"", ""WikidataId"": ""Q902134"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Synthetic Oil""]}]"	"[{""Label"": ""Synthetic oil"", ""Type"": ""C"", ""WikidataId"": ""Q902134"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [103], ""SurfaceForms"": [""synthetic oil""]}]"
N42794	video	animals	"Dog's priceless ""puppy face"" reaction after realizing she's at vet"	Like most dogs, it looks like Molly isn't a big fan of the vet!	https://assets.msn.com/labs/mind/AAJb9py.html	[]	[]
N51058	news	newspolitics	'Fireside chat on live television': Trump says he wants to read Ukraine call transcript to American people	"A defiant President Trump signaled he will not cooperate with the Democratic Party's impeachment proceedings, insisting his telephone conversation with Ukrainian President Volodymyr Zelensky was ""a good call"" and that he might read it aloud to Americans so they can see his point."	https://assets.msn.com/labs/mind/AAJFtPm.html	"[{""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Trump""]}, {""Label"": ""Ukraine"", ""Type"": ""G"", ""WikidataId"": ""Q212"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [64], ""SurfaceForms"": [""Ukraine""]}, {""Label"": ""Americans"", ""Type"": ""Y"", ""WikidataId"": ""Q846570"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [91], ""SurfaceForms"": [""American people""]}]"	"[{""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""President Trump""]}, {""Label"": ""President of Ukraine"", ""Type"": ""P"", ""WikidataId"": ""Q579677"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [152], ""SurfaceForms"": [""Ukrainian President""]}, {""Label"": ""Volodymyr Zelensky"", ""Type"": ""N"", ""WikidataId"": ""Q3874799"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [172], ""SurfaceForms"": [""Volodymyr Zelensky""]}, {""Label"": ""Democratic Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29552"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""Democratic Party""]}]"
N49400	autos	autosenthusiasts	Porsche-Designed Superyacht Is a 135-Foot-Long Spaceship on Water	Royal Falcon One looks like old money: stuffed with luxury, yet understated. My Other Porsche Is a Superyacht bumper sticker not included.	https://assets.msn.com/labs/mind/AAJFtUL.html	[]	"[{""Label"": ""Royal Falcon"", ""Type"": ""O"", ""WikidataId"": ""Q3496564"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Royal Falcon""]}, {""Label"": ""Porsche"", ""Type"": ""O"", ""WikidataId"": ""Q40993"", ""Confidence"": 0.976, ""OccurrenceOffsets"": [86], ""SurfaceForms"": [""Porsche""]}]"
N9808	news	newsworld	The Amelia Earhart Mystery Stays Down in the Deep	For two weeks in August, a multimillion-dollar search from air, land and sea sought to solve the 80-year mystery of Amelia Earhart's disappearance.	https://assets.msn.com/labs/mind/AAIKEyH.html	"[{""Label"": ""Amelia Earhart"", ""Type"": ""P"", ""WikidataId"": ""Q3355"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Amelia Earhart""]}]"	"[{""Label"": ""Amelia Earhart"", ""Type"": ""P"", ""WikidataId"": ""Q3355"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [116], ""SurfaceForms"": [""Amelia Earhart""]}]"
N61803	news	newsworld	Photos of the Day	Our top photos from the last 24 hours.	https://assets.msn.com/labs/mind/AAJT6oQ.html	[]	[]
N24352	video	viral	Beirut protesters perform 'Baby Shark' for toddler	"Amid anti-government demonstrations in Beirut on Oct. 19, a crowd of protesters spontaneously began singing the viral ""Baby Shark"" song for a toddler. (Eliane Jabbour via Storyful)"	https://assets.msn.com/labs/mind/AAJ7GdX.html	"[{""Label"": ""Beirut"", ""Type"": ""G"", ""WikidataId"": ""Q3820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Beirut""]}, {""Label"": ""Baby Shark"", ""Type"": ""U"", ""WikidataId"": ""Q48791055"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [27], ""SurfaceForms"": [""Baby Shark""]}]"	"[{""Label"": ""Beirut"", ""Type"": ""G"", ""WikidataId"": ""Q3820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Beirut""]}, {""Label"": ""Baby Shark"", ""Type"": ""U"", ""WikidataId"": ""Q48791055"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [119], ""SurfaceForms"": [""Baby Shark""]}, {""Label"": ""Storyful"", ""Type"": ""N"", ""WikidataId"": ""Q19716893"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [171], ""SurfaceForms"": [""Storyful""]}]"
N11484	health	voices	'At 237 Lbs., I Was Embarrassed To Go To The Gym. So I Did An At-Home BeachBody Program And Lost 117 Lbs.'	I wanted to be me again.	https://assets.msn.com/labs/mind/AAJT6sG.html	"[{""Label"": ""Take-out"", ""Type"": ""U"", ""WikidataId"": ""Q154383"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""To Go""]}, {""Label"": ""None of the above"", ""Type"": ""U"", ""WikidataId"": ""Q2345115"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [88], ""SurfaceForms"": [""And Lost""]}, {""Label"": ""Gym"", ""Type"": ""C"", ""WikidataId"": ""Q14092"", ""Confidence"": 0.94, ""OccurrenceOffsets"": [41], ""SurfaceForms"": [""The Gym""]}]"	[]
N4359	video	news	Anderson Cooper to Steve Bannon: You know this is bull	CNN's Anderson Cooper discusses the impeachment inquiry against President Donald Trump with former White House chief strategist Steve Bannon.	https://assets.msn.com/labs/mind/AAJFu2N.html	"[{""Label"": ""Anderson Cooper"", ""Type"": ""P"", ""WikidataId"": ""Q316997"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Anderson Cooper""]}, {""Label"": ""Steve Bannon"", ""Type"": ""P"", ""WikidataId"": ""Q16146870"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Steve Bannon""]}]"	"[{""Label"": ""Anderson Cooper"", ""Type"": ""P"", ""WikidataId"": ""Q316997"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [6], ""SurfaceForms"": [""Anderson Cooper""]}, {""Label"": ""Steve Bannon"", ""Type"": ""P"", ""WikidataId"": ""Q16146870"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [128], ""SurfaceForms"": [""Steve Bannon""]}, {""Label"": ""CNN"", ""Type"": ""M"", ""WikidataId"": ""Q48340"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""CNN""]}, {""Label"": ""White House"", ""Type"": ""F"", ""WikidataId"": ""Q35525"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [99], ""SurfaceForms"": [""White House""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [64], ""SurfaceForms"": [""President Donald Trump""]}]"
N23718	lifestyle	lifestylecelebstyle	Khloe Kardashian is back to brunette in new fragrance ads with sisters	Khloe ditched her platinum blond locks in ads for a new KKW Fragrance collection. But is the brunette hair just a wig?	https://assets.msn.com/labs/mind/AAJyaza.html	"[{""Label"": ""Khlo\u00e9 Kardashian"", ""Type"": ""P"", ""WikidataId"": ""Q231270"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Khloe Kardashian""]}]"	"[{""Label"": ""Khlo\u00e9 Kardashian"", ""Type"": ""P"", ""WikidataId"": ""Q231270"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Khloe""]}]"
N28856	finance	markets	Alaska mine could generate $1 billion a year: Is it worth the risk to salmon?	A brown bear loped across rolling green tundra as Charles Weimer set down a light, single-engine helicopter on a remote hilltop.	https://assets.msn.com/labs/mind/AAJFuhB.html	"[{""Label"": ""Alaska"", ""Type"": ""G"", ""WikidataId"": ""Q797"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Alaska""]}]"	"[{""Label"": ""Whatcom County Council"", ""Type"": ""B"", ""WikidataId"": ""Q33044571"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [50], ""SurfaceForms"": [""Charles Weimer""]}]"
N34627	news	newsus	Ex-officer who killed retired librarian during drill gets no jail time	A former Florida police officer who fatally shot a 73-year-old retired librarian during a demonstration for the public in 2016 will not serve jail time.	https://assets.msn.com/labs/mind/AAIVQ3E.html	[]	"[{""Label"": ""Florida"", ""Type"": ""G"", ""WikidataId"": ""Q812"", ""Confidence"": 0.935, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""Florida""]}]"
N18766	news	newsus	Ready to Boost Stocks: Investors' Multitrillion Cash Hoard	As stocks cruise to fresh highs, investors' $3.4 trillion pile of cash is reassuring some that the decadelong bull market can push still higher.	https://assets.msn.com/labs/mind/AAJT8DG.html	[]	[]
N4526	foodanddrink	foodnews	Bill Murray Applied To Work At An Airport P.F. Chang's And They're Totally Down To Hire Him	Dude loves a lettuce wrap.	https://assets.msn.com/labs/mind/AAJBa6B.html	"[{""Label"": ""P. F. Chang's China Bistro"", ""Type"": ""O"", ""WikidataId"": ""Q5360181"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""P.F. Chang's""]}, {""Label"": ""Bill Murray"", ""Type"": ""P"", ""WikidataId"": ""Q29250"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Bill Murray""]}]"	[]
N49942	tv	tvvideos	"Kylie Jenner Breaks the Internet With ""Rise & Shine"""	"The ""Keeping Up With the Kardashians"" star is capitalizing on her record-breaking TikTok song with brand-new merch. Here's the latest!"	https://assets.msn.com/labs/mind/AAJbMkg.html	"[{""Label"": ""Kylie Jenner"", ""Type"": ""P"", ""WikidataId"": ""Q1770624"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Kylie Jenner""]}]"	"[{""Label"": ""TikTok"", ""Type"": ""N"", ""WikidataId"": ""Q48938223"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [82], ""SurfaceForms"": [""TikTok""]}, {""Label"": ""Keeping Up with the Kardashians"", ""Type"": ""W"", ""WikidataId"": ""Q152108"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Keeping Up With the Kardashians""]}]"
N27919	sports	golf	Martin worries about amputation after breaking right leg	Casey Martin's worst fear was realized earlier this month when he stepped awkwardly off a curb and fractured his right tibia.	https://assets.msn.com/labs/mind/AAJybml.html	"[{""Label"": ""Casey Martin"", ""Type"": ""P"", ""WikidataId"": ""Q5048537"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Martin""]}]"	"[{""Label"": ""Casey Martin"", ""Type"": ""P"", ""WikidataId"": ""Q5048537"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Casey Martin""]}]"
N19301	news	newsus	Court rules for LA in lawsuit against Trump	A federal appeals court decided unanimously Thursday that the Trump administration may not force Los Angeles to help the government deport immigrants as a condition of receiving a federal police grant.	https://assets.msn.com/labs/mind/AAJFvQH.html	"[{""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Trump""]}]"	"[{""Label"": ""Presidency of Donald Trump"", ""Type"": ""U"", ""WikidataId"": ""Q27809653"", ""Confidence"": 0.982, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Trump administration""]}, {""Label"": ""Los Angeles"", ""Type"": ""G"", ""WikidataId"": ""Q65"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [97], ""SurfaceForms"": [""Los Angeles""]}]"
N32991	lifestyle	lifestylehomeandgarden	10 Best Home Renovations to Squeeze in Before Winter	"Create a ""wow!""-worthy home before snuggle-weather hits. The post 10 Best Home Renovations to Squeeze in Before Winter appeared first on Reader's Digest."	https://assets.msn.com/labs/mind/AAJBaPc.html	"[{""Label"": ""Home improvement"", ""Type"": ""C"", ""WikidataId"": ""Q2789106"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [8], ""SurfaceForms"": [""Home Renovations""]}]"	"[{""Label"": ""Home improvement"", ""Type"": ""C"", ""WikidataId"": ""Q2789106"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [74], ""SurfaceForms"": [""Home Renovations""]}, {""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [137], ""SurfaceForms"": [""Reader's Digest""]}, {""Label"": ""Car and Driver 10Best"", ""Type"": ""U"", ""WikidataId"": ""Q5037253"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""10 Best""]}]"
N44086	finance	markets	Home-Improvement Boom Is Forecast to Fizzle	Home-improvement retailers have proved to be a bright spot during an otherwise underwhelming stretch for retail stocks, but a popular predictor of remodeling spending suggests tougher times ahead.	https://assets.msn.com/labs/mind/AAJhwgq.html	"[{""Label"": ""Home improvement"", ""Type"": ""C"", ""WikidataId"": ""Q2789106"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Home-Improvement""]}]"	"[{""Label"": ""Home improvement"", ""Type"": ""C"", ""WikidataId"": ""Q2789106"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Home-improvement""]}]"
N34694	tv	tvnews	Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now	Rosie O'Donnell: Barbara Walters Isn't 'Up to Speaking to People' Right Now	https://assets.msn.com/labs/mind/AAIZa64.html	"[{""Label"": ""Rosie O'Donnell"", ""Type"": ""P"", ""WikidataId"": ""Q272929"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Rosie O'""]}]"	"[{""Label"": ""Rosie O'Donnell"", ""Type"": ""P"", ""WikidataId"": ""Q272929"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Rosie O'""]}]"
N39960	news	newsus	'It triggers the trauma': Atatiana Jefferson shooting fuels tensions with police in Fort Worth	It's always been kind of like that around here, says a resident of the same neighborhood where Jefferson was fatally shot by former Officer Aaron Dean.	https://assets.msn.com/labs/mind/AAIPBNt.html	"[{""Label"": ""Fort Worth, Texas"", ""Type"": ""G"", ""WikidataId"": ""Q16558"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [84], ""SurfaceForms"": [""Fort Worth""]}]"	[]
N33013	lifestyle	lifestylebuzz	"Couple Cancels Wedding, Keeps $30K as ""Donation"" for Honeymoon Instead"	In a viral Facebook post, a couple announces they're canceling their wedding, but keeping the $30,000 in gifts for a honeymoon instead.	https://assets.msn.com/labs/mind/AAJT9dc.html	[]	"[{""Label"": ""Facebook"", ""Type"": ""O"", ""WikidataId"": ""Q355"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Facebook""]}]"
N30144	movies	movies-awards	Fashion hits and misses from the 2019 Hollywood Film Awards	Check out the best and worst fashion of the 2019 Hollywood Film Awards	https://assets.msn.com/labs/mind/AAJNEAV.html	"[{""Label"": ""Hollywood Film Awards"", ""Type"": ""B"", ""WikidataId"": ""Q18681625"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Hollywood Film Awards""]}]"	"[{""Label"": ""Hollywood Film Awards"", ""Type"": ""B"", ""WikidataId"": ""Q18681625"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [49], ""SurfaceForms"": [""Hollywood Film Awards""]}]"
N44650	sports	football_nfl	"Urban Meyer ""absolutely"" would take Cowboys job"	Many coaches would never comment publicly about a job that is currently filled by someone else.	https://assets.msn.com/labs/mind/AAJ2kHU.html	"[{""Label"": ""Urban Meyer"", ""Type"": ""P"", ""WikidataId"": ""Q1516578"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Urban Meyer""]}, {""Label"": ""Dallas Cowboys"", ""Type"": ""O"", ""WikidataId"": ""Q204862"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Cowboys""]}]"	[]
N35009	music	musicnews	Korean Pop Star Sulli Dies at 25	Korean pop star Sulli was found dead at her home near Seoul on Monday. She was 25. Her manager found her body and alerted the police. The manager reported that the star, whose real name was Choi Jin-ri, suffered from depression, and police said that they were working on the assumption that she had died	https://assets.msn.com/labs/mind/AAIKKdS.html	[]	"[{""Label"": ""Sulli"", ""Type"": ""P"", ""WikidataId"": ""Q496501"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [16, 190], ""SurfaceForms"": [""Sulli"", ""Choi Jin-ri""]}, {""Label"": ""K-pop"", ""Type"": ""B"", ""WikidataId"": ""Q213665"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Korean pop""]}, {""Label"": ""Seoul"", ""Type"": ""G"", ""WikidataId"": ""Q8684"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [54], ""SurfaceForms"": [""Seoul""]}]"
N56240	sports	golf	Gary McCord speaks out loudly about being dropped from CBS golf team: 'Bottom line, they fired me'	Gary McCord says that he was surprised by CBS' decision and disappointed with the way the network handled the situation after working there 30-plus years	https://assets.msn.com/labs/mind/AAJuCaG.html	"[{""Label"": ""Gary McCord"", ""Type"": ""P"", ""WikidataId"": ""Q5525555"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Gary McCord""]}, {""Label"": ""CBS"", ""Type"": ""O"", ""WikidataId"": ""Q43380"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [55], ""SurfaceForms"": [""CBS""]}]"	"[{""Label"": ""Gary McCord"", ""Type"": ""P"", ""WikidataId"": ""Q5525555"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Gary McCord""]}, {""Label"": ""CBS"", ""Type"": ""O"", ""WikidataId"": ""Q43380"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [42], ""SurfaceForms"": [""CBS""]}]"
N19079	foodanddrink	foodnews	7 'Italian' foods Americans eat that you typically won't find in Italy	Things like spaghetti and meatballs or even a single slice of pizza seem normal and standard in the US, but that's not the case in Italy.	https://assets.msn.com/labs/mind/AAIZaRG.html	"[{""Label"": ""Italy"", ""Type"": ""G"", ""WikidataId"": ""Q38"", ""Confidence"": 0.956, ""OccurrenceOffsets"": [3, 65], ""SurfaceForms"": [""Italian"", ""Italy""]}]"	"[{""Label"": ""Italy"", ""Type"": ""G"", ""WikidataId"": ""Q38"", ""Confidence"": 0.956, ""OccurrenceOffsets"": [131], ""SurfaceForms"": [""Italy""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [100], ""SurfaceForms"": [""US""]}]"
N48497	tv	tvnews	'Dancing With the Stars': 'Devastated' Christie Brinkley sobbed over Sailor's elimination	"Sailor Brinkley-Cook cried over her shocking dismissal from ""Dancing With the Stars."" She tells USA TODAY that mom Christie Brinkley took it hard, too"	https://assets.msn.com/labs/mind/AAJbO9J.html	"[{""Label"": ""Christie Brinkley"", ""Type"": ""P"", ""WikidataId"": ""Q253476"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Christie Brinkley""]}, {""Label"": ""Confident (album)"", ""Type"": ""W"", ""WikidataId"": ""Q20886070"", ""Confidence"": 0.923, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Stars""]}]"	"[{""Label"": ""Christie Brinkley"", ""Type"": ""P"", ""WikidataId"": ""Q253476"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0, 115], ""SurfaceForms"": [""Sailor Brinkley-Cook"", ""Christie Brinkley""]}, {""Label"": ""USA Today"", ""Type"": ""M"", ""WikidataId"": ""Q39681"", ""Confidence"": 0.98, ""OccurrenceOffsets"": [96], ""SurfaceForms"": [""USA TODAY""]}]"
N20569	news	newspolitics	Trump, in Texas, bashes Democrats as 'crazy,' unpatriotic	"DALLAS (AP)   President Donald Trump tried to turn impeachment rancor into a political rallying cry Thursday, using a Texas rally to bash Democrats as ""crazy"" and unpatriotic as they push forward with their investigations."	https://assets.msn.com/labs/mind/AAIVR8U.html	"[{""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.978, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Trump""]}, {""Label"": ""Democratic Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29552"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Democrats""]}, {""Label"": ""Texas"", ""Type"": ""G"", ""WikidataId"": ""Q1439"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Texas""]}]"	"[{""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 0.978, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""President Donald Trump""]}, {""Label"": ""Democratic Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29552"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [138], ""SurfaceForms"": [""Democrats""]}, {""Label"": ""Texas"", ""Type"": ""G"", ""WikidataId"": ""Q1439"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [118], ""SurfaceForms"": [""Texas""]}]"
N49048	lifestyle	lifestylepetsanimals	How to Adopt a Retired Police Dog	Help our brave pups in blue track down the perfect forever homes.	https://assets.msn.com/labs/mind/AAIZaWE.html	"[{""Label"": ""Police dog"", ""Type"": ""C"", ""WikidataId"": ""Q39235"", ""Confidence"": 0.913, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Dog""]}]"	[]
N16874	news	newsworld	Mexico convulsed by second mass shooting in two days	Fifteen people were killed in a gunfight in the southwestern Mexican state of Guerrero	https://assets.msn.com/labs/mind/AAIPC6v.html	"[{""Label"": ""Mexico"", ""Type"": ""G"", ""WikidataId"": ""Q96"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Mexico""]}]"	"[{""Label"": ""Guerrero"", ""Type"": ""G"", ""WikidataId"": ""Q60158"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [78], ""SurfaceForms"": [""Guerrero""]}, {""Label"": ""State of Mexico"", ""Type"": ""G"", ""WikidataId"": ""Q82112"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""Mexican state""]}]"
N14228	health	nutrition	9 Best Snacks for When You're Trying to Cut Back on Sodium	Chances are you're eating way too much salt, and most of it is coming from packaged foods not the shaker on your dining table. Trade them in for these healthy, low-salt diet snacks that won't blow your daily sodium budget.	https://assets.msn.com/labs/mind/AAIVRSs.html	"[{""Label"": ""Snack"", ""Type"": ""U"", ""WikidataId"": ""Q749316"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""Snacks""]}]"	[]
N34369	sports	golf	Korda takes 1-shot lead in Shanghai with 6-under 66	SHANGHAI (AP) Jessica Korda shot a 6-under 66 in the third round, with eight birdies and two bogeys, to take a one-shot lead at the Buick LPGA Shanghai on Saturday.	https://assets.msn.com/labs/mind/AAIVRaV.html	"[{""Label"": ""Jessica Korda"", ""Type"": ""P"", ""WikidataId"": ""Q8055708"", ""Confidence"": 0.971, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Korda""]}]"	"[{""Label"": ""Jessica Korda"", ""Type"": ""P"", ""WikidataId"": ""Q8055708"", ""Confidence"": 0.971, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Jessica Korda""]}, {""Label"": ""Buick LPGA Shanghai"", ""Type"": ""N"", ""WikidataId"": ""Q60750304"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [132], ""SurfaceForms"": [""Buick LPGA Shanghai""]}]"
N54655	foodanddrink	foodnews	Peter Luger's says its steaks are still 'the best you can eat' after zero-star review from the New York Times	"Pete Wells wrote that his fries were ""mealy and bland"" and that the Caesar salad's croutons were ""straight out of the bag."""	https://assets.msn.com/labs/mind/AAJycoT.html	"[{""Label"": ""The New York Times"", ""Type"": ""M"", ""WikidataId"": ""Q9684"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [95], ""SurfaceForms"": [""New York Times""]}]"	"[{""Label"": ""Pete Wells"", ""Type"": ""P"", ""WikidataId"": ""Q7172329"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Pete Wells""]}]"
N37083	news	newsus	Police warn against THC-laced Halloween candy	Police in Pennsylvania are urging parents to be extra cautious with their Halloween candy this year.	https://assets.msn.com/labs/mind/AAIE23P.html	"[{""Label"": ""Halloween"", ""Type"": ""H"", ""WikidataId"": ""Q251868"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Halloween""]}]"	"[{""Label"": ""Halloween"", ""Type"": ""H"", ""WikidataId"": ""Q251868"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [74], ""SurfaceForms"": [""Halloween""]}, {""Label"": ""Pennsylvania"", ""Type"": ""G"", ""WikidataId"": ""Q1400"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Pennsylvania""]}]"
N24409	finance	finance-real-estate	Analysis: California is becoming unlivable	The state is plagued by two major issues: wildfires and a lack of affordable housing. Each problem exacerbates the other.	https://assets.msn.com/labs/mind/AAJBbJF.html	"[{""Label"": ""California"", ""Type"": ""G"", ""WikidataId"": ""Q99"", ""Confidence"": 0.98, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""California""]}]"	[]
N250	autos	autosnews	Lawsuit blames Tesla motorized door handles for death of driver stuck in burning car	Car's owner died in a fire when a police officer couldn't open the doors	https://assets.msn.com/labs/mind/AAJhyfq.html	[]	[]
N36557	entertainment	celebrity	Celebrity Halloween costume fails	Check out the stars' biggest Halloween costume fails.	https://assets.msn.com/labs/mind/AAJ7Ijf.html	"[{""Label"": ""Halloween"", ""Type"": ""H"", ""WikidataId"": ""Q251868"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Halloween""]}, {""Label"": ""Celebrity (film)"", ""Type"": ""W"", ""WikidataId"": ""Q1052826"", ""Confidence"": 0.964, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Celebrity""]}]"	"[{""Label"": ""Halloween"", ""Type"": ""H"", ""WikidataId"": ""Q251868"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Halloween""]}]"
